epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,616.791,1.43482,1.22665,1.32086,1.24684,0.83578,0.6,0.7028,0.30846,0.99343,0.7,0.75345,0.33006,1.04083,0.83758,1.08953,1.03738,0.00192536,0.00192536,0.00192536
91,623.725,1.52584,1.41972,1.5516,1.39346,0.85502,0.59107,0.75201,0.34515,1,0.68523,0.80161,0.28946,0.97171,0.93885,0.92438,1.0121,0.0019237,0.0019237,0.0019237
92,630.624,1.38025,1.17633,1.50516,1.15372,0.65207,0.7,0.71135,0.22075,0.77698,0.69714,0.76087,0.23732,1.22793,0.93528,1.05399,1.09039,0.00192203,0.00192203,0.00192203
93,637.464,1.37285,1.31656,1.39369,1.24819,0.66804,0.7,0.76147,0.29081,0.66804,0.7,0.69515,0.31219,1.13663,0.87022,1.13137,1.11124,0.00192034,0.00192034,0.00192034
94,644.116,1.40344,1.34126,1.3169,1.25942,0.9133,0.7,0.78351,0.32937,0.9133,0.7,0.78351,0.32853,1.1566,0.9441,1.08447,1.0521,0.00191864,0.00191864,0.00191864
95,651.089,1.36233,1.23447,1.34026,1.12527,0.72516,0.79225,0.73231,0.29104,0.72516,0.79225,0.73231,0.23948,1.17586,1.01081,1.09715,1.04035,0.00191691,0.00191691,0.00191691
96,657.928,1.28408,0.99532,1.09446,1.10226,0.88638,0.78193,0.82507,0.34048,0.88638,0.78193,0.82009,0.30109,1.15897,1.01956,1.08172,1.01874,0.00191517,0.00191517,0.00191517
97,664.747,1.31326,1.16709,1.31555,1.14837,0.81705,0.89376,0.87114,0.36435,0.81705,0.89376,0.81153,0.37334,1.04773,0.83796,1.04164,0.99498,0.00191341,0.00191341,0.00191341
98,672.154,1.40157,1.27813,1.49273,1.22957,0.74549,0.8,0.86903,0.38457,0.7978,0.8,0.79203,0.23073,1.14295,1.0696,1.02296,1.04432,0.00191164,0.00191164,0.00191164
99,679.198,1.44683,1.22063,1.24229,1.17192,0.96447,0.6,0.74633,0.32861,0.96447,0.6,0.74039,0.26919,1.18002,0.93667,1.07487,1.06967,0.00190985,0.00190985,0.00190985
